Name,discounted_price,actual_price,saving_percent,rating,reviews,brand,model,core,ssd,ssd_gb,has_valid_ssd
HP 15-FD0499NIA Ci5-1334U (8GB 512GB SSD),143999,180000,20,,,hp,15-FD0499NIA Ci5-1334U,,512GB SSD,512,1
HP Laptop EQ2180AU 15.6 Inches AMD Ryzen 5 (8GB RAM - 512GBSSD),194999,219999,11,,,hp,Laptop EQ2180AU 15.6 Inches AMD Ryzen 5,Ryzen 5,512GBSSD,512,1
HP 250 G10 Raptor Lake 13th Gen Core i5 (8GB-512GB SSD),148999,185000,19,,,hp,250 G10 Raptor Lake 13th Gen Core i5,Core i5,8GB-512GB SSD,8,1
HP 15-FD0229NIA Ci7-1355U (8GB-512GB SSD) 15.6 FHD,177999,200000,11,,,hp,15-FD0229NIA Ci7-1355U  15.6 FHD,,8GB-512GB SSD,8,1
HP Probook 450 G10 Raptor Lake 13th Gen Core i5 1334U 8GB-512GB SSD,179999,199999,10,,,hp,Probook 450 G10 Raptor Lake 13th Gen Core i5 1334U 8GB-512GB SSD,Core i5,8GB-512GB SSD,8,1
HP 15 FD0647TU 13th Generation Ci5-1334U (8GB-512GB SSD),139999,170000,18,,,hp,15 FD0647TU 13th Generation Ci5-1334U,,8GB-512GB SSD,8,1
HP 15-FD0647TU Ci5-1334U (8GB-512GB SSD),145999,200000,27,,,hp,15-FD0647TU Ci5-1334U,,8GB-512GB SSD,8,1
HP VICTUS 15-FB2082WM R5-8645HS (8GB-512GB SSD) RTX-4050-6GB,231999,292000,21,,,hp,VICTUS 15-FB2082WM R5-8645HS  RTX-4050-6GB,,8GB-512GB SSD,8,1
HP 15S-FQ5299NIA Laptop 12th Gen Core i7 (8GB-512GB SSD),177999,220000,19,,,hp,15S-FQ5299NIA Laptop 12th Gen Core i7,Core i7,8GB-512GB SSD,8,1
HP 15-FD0336TU Ci5-1334U (8GB-512GB SSD),144999,190000,24,,,hp,15-FD0336TU Ci5-1334U,,8GB-512GB SSD,8,1
HP 250 G10 Ci3 N305 (8GB-512GB SSD),115999,144999,20,,,hp,250 G10 Ci3 N305,,8GB-512GB SSD,8,1
HP ENVY 14-ES1013DX 14th Gen Core 5 120U (8GB-512GB SSD) x360 Touch,169999,200000,15,5,1,hp,ENVY 14-ES1013DX 14th Gen Core 5 120U  x360 Touch,,8GB-512GB SSD,8,1
Infinix INBOOK Air (XL442) Core i3 1215U (8GB - 256GB),119999,129999,8,,,infinix,INBOOK Air,Core i3,,,0
